标称截面,金钢,计算截面铝阻金,计算截面铝合金,计算截面总和,铝阻金单线根数,铝合金单线根数,铝阻金芯直径,铝合金单线直径,铝阻金芯直径,绞线直径,单位长度质量,额定拉断力JLHA1/LB14,额定拉断力JLHA2/LB14,20℃直流电阻JLHA1/LB14,20℃直流电阻JLHA2/LB14
25/4,16.7,24.1,4.01,28.1,6,1,2.26,2.26,2.26,6.78,94.7,13.48,12.76,1.3254,1.3134
40/5,6.9,38.3,6.38,44.7,6,1,2.85,2.85,2.85,8.55,150.6,21.43,20.29,0.8334,0.8259
50/8,8.8,48.3,8.04,56.3,6,1,3.20,3.20,3.20,9.60,189.8,26.78,25.33,0.6611,0.6551
60/10,12.7,60.4,10.1,70.5,6,1,3.58,3.58,3.58,10.7,237.6,32.51,31.31,0.5282,0.5234
70/10,8.3,68.0,11.3,79.3,6,1,3.80,3.80,3.80,11.4,267.7,36.63,35.27,0.4688,0.4646
70/40,12.7,69.7,40.7,110,12,7,2.72,2.72,8.16,13.6,484.2,80.01,77.92,0.4154,0.4121
95/15,4.3,95.9,16.0,112,6,1,4.51,4.51,4.51,13.5,377.1,51.60,49.68,0.3328,0.3298
95/55,4.3,96.5,56.3,153,12,7,3.20,3.20,9.60,16.0,670.2,109.1,106.2,0.3002,0.2977
120/7,4.3,119,6.61,125,18,1,2.90,2.90,2.90,14.5,374.6,47.95,44.39,0.2773,0.2747
120/70,4.3,122,71.3,193,12,7,3.60,3.60,10.8,18.0,848.2,134.0,131.5,0.2372,0.2352
150/8,8.2,145,8.04,153,18,1,3.20,3.20,3.20,16.0,456.2,58.15,53.80,0.2277,0.2256
150/35,8.1,147,34.4,182,30,7,2.50,2.50,7.50,17.5,653.3,96.31,91.89,0.2144,0.2125
185/10,4.2,183,10.2,193,18,1,3.60,3.60,3.60,18.0,577.3,71.35,67.69,0.1799,0.1783
185/25,8.1,187,24.2,211,24,7,3.15,2.10,6.30,18.9,689.9,94.97,89.36,0.1732,0.1716
185/30,16.3,181,29.6,211,26,7,2.98,2.32,6.96,18.9,712.9,100.7,95.22,0.1772,0.1756
185/45,23.3,185,43.1,228,30,7,2.80,2.80,8.40,19.6,819.5,120.8,115.3,0.1709,0.1694
200/10,5.6,198,11.0,209,18,1,3.74,3.74,3.74,18.7,623.1,77.01,73.06,0.1667,0.1652
200/30,16.3,192,31.4,224,26,7,3.07,2.39,7.17,19.5,756.6,106.8,101.1,0.1669,0.1654
210/10,5.6,204,11.3,215,18,1,3.80,3.80,3.80,19.0,643.3,79.50,75.42,0.1615,0.1600
210/35,16.2,212,34.4,246,26,7,3.22,2.50,7.50,20.4,831.1,117.3,110.9,0.1518,0.1504
210/50,23.3,209,48.8,258,30,7,2.98,2.98,8.94,20.9,928.3,136.8,130.6,0.1509,0.1495
240/30,13.0,244,31.7,276,24,7,3.60,2.40,7.20,21.6,901.1,121.6,116.7,0.1326,0.1314
240/40,16.3,239,38.9,278,26,7,3.42,2.66,7.98,21.7,938.5,132.5,125.3,0.1345,0.1333
240/55,23.3,241,56.3,298,30,7,3.20,3.20,9.60,22.4,1070.4,156.1,148.9,0.1309,0.1297
250/40,16.3,240,39.2,279,26,7,3.43,2.67,8.01,21.7,944.4,133.3,126.1,0.1337,0.1325
300/40,13.0,300,38.9,339,24,7,3.99,2.66,7.98,23.9,1106.9,149.4,143.4,0.1079,0.1069
300/50,16.3,300,48.8,348,26,7,3.83,2.98,8.94,24.3,1177.2,163.2,157.2,0.1073,0.1063
300/70,23.3,305,71.3,377,30,7,3.60,3.60,10.8,25.2,1354.7,191.7,185.6,0.1034,0.1025
385/50,13.0,387,50.1,437,54,7,3.02,3.02,9.06,27.2,1429.5,194.9,183.3,0.0839,0.0832
400/35,8.8,391,34.4,425,48,7,3.22,2.50,7.50,26.8,1326.6,175.5,163.8,0.0839,0.0831
400/50,13.0,400,51.8,452,54,7,3.07,3.07,9.21,27.6,1477.2,201.4,189.4,0.0812,0.0805
400/65,16.3,399,65.1,464,26,7,4.42,3.44,10.3,28.0,1568.1,215.4,207.5,0.0805,0.0798
400/95,31.8,408,93.3,501,30,19,4.16,2.50,12.5,29.1,1797.8,259.9,251.8,0.0775,0.0768
440/30,6.9,443,30.6,474,45,7,3.54,2.36,7.08,28.3,1443.4,182.7,173.8,0.0744,0.0737
435/35,13.0,437,56.6,494,54,7,3.21,3.21,9.63,28.9,1615.0,220.2,207.1,0.0743,0.0736
490/35,6.9,492,34.1,526,45,7,3.73,2.49,7.47,29.9,1603.2,203.0,193.1,0.0670,0.0664
485/60,13.0,485,62.8,547,54,7,3.38,3.38,10.1,30.4,1790.6,244.1,229.6,0.0670,0.0664
550/40,6.9,551,38.0,589,45,7,3.95,2.63,7.89,31.6,1796.5,227.3,216.3,0.0598,0.0592
620/40,6.9,620,42.8,663,45,7,4.19,2.79,8.37,33.5,2021.4,255.8,243.4,0.0531,0.0526
610/75,12.7,609,77.6,687,54,19,3.79,2.28,11.4,34.1,2243.2,301.3,289.1,0.0533,0.0528
630/45,6.9,623,43.1,667,45,7,4.20,2.80,8.40,33.6,2031.8,257.2,244.7,0.0529,0.0524
630/55,8.8,640,56.3,696,48,7,4.12,3.20,9.60,34.3,2172.1,279.3,266.5,0.0512,0.0508
700/50,6.9,697,48.2,745,45,7,4.44,2.96,8.88,35.5,2270.7,287.4,273.5,0.0473,0.0469
720/50,6.9,725,50.1,775,45,7,4.53,3.02,9.06,36.2,2365.6,297.7,283.2,0.0455,0.0451
700/85,12.7,689,87.4,776,54,19,4.03,2.42,12.1,36.3,2534.0,340.2,326.4,0.0472,0.0467
790/35,4.3,791,34.1,825,72,7,3.74,2.49,7.47,37.4,2432.0,282.4,267.3,0.0420,0.0416
785/65,8.3,785,65.4,851,84,7,3.45,3.45,10.4,38.0,2642.7,328.2,305.9,0.0419,0.0415
775/100,12.7,777,98.6,875,54,19,4.28,2.57,12.9,38.5,2858.1,383.7,368.2,0.0418,0.0414
800/55,6.9,814,56.3,871,45,7,4.80,3.20,9.60,38.4,2653.8,334.2,317.9,0.0405,0.0401
800/70,8.8,808,71.3,879,48,7,4.63,3.60,10.8,38.6,2744.3,350.0,333.9,0.0406,0.0402
800/100,12.7,795,101,896,54,19,4.33,2.60,13.0,39.0,2925.2,392.7,376.8,0.0409,0.0405
880/75,8.3,884,73.6,957,84,7,3.66,3.66,11.0,40.3,2974.2,358.2,341.4,0.0372,0.0369
890/115,12.7,890,113,1002,54,19,4.58,2.75,13.8,41.2,3274.4,439.4,421.6,0.0365,0.0362
900/40,4.3,891,38.6,930,72,7,3.97,2.65,7.95,39.7,2743.7,318.4,301.5,0.0373,0.0369
900/75,8.3,898,74.9,973,84,7,3.69,3.69,11.1,40.6,3023.2,364.1,347.0,0.0366,0.0363
990/45,4.3,988,42.8,1031,72,7,4.18,2.79,8.37,41.8,3041.6,353.0,334.2,0.0336,0.0333
1025/45,4.3,1021,44.3,1066,72,7,4.25,2.84,8.52,42.5,3145.1,365.1,345.6,0.0325,0.0322
1015/85,8.3,1014,84.5,1098,84,7,3.92,3.92,11.8,43.1,3411.8,410.9,391.7,0.0324,0.0321
1140/50,4.3,1135,49.2,1184,72,7,4.48,2.99,8.97,44.8,3491.4,405.5,383.9,0.0293,0.0290
1100/90,8.2,1098,89.6,1188,84,19,4.08,2.45,12.3,44.9,3684.2,448.6,427.8,0.0300,0.0297
1225/100,8.2,1226,100,1326,84,19,4.31,2.59,13.0,47.4,4112.3,500.8,477.5,0.0268,0.0266
1270/105,8.1,1271,103,1375,84,19,4.39,2.63,13.2,48.3,4406.5,510.6,483.3,0.0231,0.0229
1405/115,8.1,1408,114,1523,84,19,4.62,2.77,13.9,50.8,4721.4,574.8,548.0,0.0234,0.0232
